iid,date,airline,flightNumber,,dep.airport,incidentType,severity,delay,num.injuries,reported.by,aircraft
i4018,3.11.2011,SQ,990,,FRA,medical,minor,87,0,company,A350-900
i4019,20.5.2022,JL,1734,,HND,turbulence,critical,64,0,first officer,A321-XLR
i4020,24.5.2019,KE,9421,,BOM,faa,critical,120,0,first officer,BE206-JetRanger
i4021,18.5.2019,AC,5641,,LAX,medical,minor,58,0,pilot,A321-XLR
i4022,16.11.2009,QF,3965,,SYD,security,minor,84,0,mechanic,A380
i4023,22.3.2011,EK,7064,,JFK,medical,minor,62,1,crew,747-8
i4024,6.7.2020,SV,1658,,LHR,turbulence,major,68,0,pilot,777-300ER
i4025,6.6.2020,SV,7728,,JFK,turbulence,minor,39,1,first officer,A321-XLR
i4026,26.1.2014,AC,4540,,FRA,medical,major,119,1,first officer,A380
i4027,2.8.2019,MH,1887,,SEA,security,minor,132,0,mechanic,A321-XLR
i4028,15.5.2022,UA,6973,,ORD,weather,major,11,0,company,777-300ER
i4029,7.10.2010,QR,5927,,YYZ,turbulence,critical,95,1,ground staff,A380
i4030,19.10.2021,BA,1341,,HND,turbulence,minor,38,0,ground staff,737-800
i4031,1.4.2014,AA,9444,,FRA,mechanical,minor,67,0,ground staff,A380
i4032,16.7.2020,MU,7376,,HND,mechanical,minor,13,0,mechanic,A350-900
i4033,18.6.2013,WN,7951,,BOM,mechanical,major,115,0,mechanic,777-300ER
i4034,21.3.2014,KL,9680,,SFO,security,major,28,0,ground staff,777-300ER
i4035,15.1.2011,DY,418,,LAS,turbulence,critical,118,0,ground staff,BE206-JetRanger
i4036,12.5.2014,DY,8454,,YYZ,weather,minor,102,0,ground staff,737-800
i4037,10.5.2016,EK,3232,,JFK,crew,critical,38,0,crew,737-800
i4038,28.1.2012,AF,1801,,LAX,crew,major,137,0,first officer,737-800
i4039,10.11.2015,AM,2525,,JFK,weather,critical,65,0,pilot,A321-XLR
i4040,12.11.2010,G3,6321,,DFW,weather,minor,46,0,crew,A380
i4041,27.8.2015,WN,7506,,SFO,medical,critical,133,1,mechanic,747-8
i4042,12.9.2014,QR,6416,,LAX,weather,major,123,0,first officer,777-300ER
i4043,20.5.2010,QR,3337,,LHR,medical,major,95,1,company,A350-900
i4044,7.3.2017,U2,2072,,YYZ,faa,major,75,0,first officer,A380
i4045,15.3.2011,FR,8919,,BOM,turbulence,critical,82,0,ground staff,747-8
i4046,2.2.2023,VN,9024,,CDG,weather,major,128,0,first officer,737-800
i4047,20.5.2009,AF,6537,,LAX,medical,critical,123,0,ground staff,A350-900
i4048,7.9.2010,SQ,1779,,HND,mechanical,major,129,0,company,A350-900
i4049,1.5.2023,LA,6483,,BOM,medical,minor,103,0,crew,777-300ER
i4050,8.7.2015,DL,6506,,ORD,faa,critical,72,0,ground staff,A350-900
i4051,19.11.2015,UA,7606,,JFK,weather,critical,108,0,pilot,737-800
i4052,25.9.2010,BA,4028,,LAS,security,critical,110,0,first officer,737-400
i4053,11.5.2016,SQ,9996,,DEN,mechanical,critical,71,0,company,A350-900
i4054,27.6.2009,CX,5824,,DXB,medical,major,117,0,mechanic,777-300ER
i4055,3.11.2013,MH,3705,,HND,medical,major,74,1,ground staff,A380
i4056,2.5.2019,AF,1339,,BOM,weather,minor,60,0,first officer,737-400
i4057,12.3.2017,SV,5282,,JFK,crew,major,118,0,ground staff,737-400
i4058,1.5.2013,FR,6432,,DXB,mechanical,minor,113,0,ground staff,777-300ER
i4059,3.6.2014,AA,3375,,HND,mechanical,critical,101,0,first officer,737-400
i4060,12.4.2020,AZ,2653,,LAS,security,minor,95,0,pilot,A321-XLR
i4061,5.8.2017,LH,4600,,JFK,faa,critical,92,0,ground staff,A350-900
i4062,10.7.2010,NH,3294,,ATL,security,critical,101,0,mechanic,737-800
i4063,5.8.2022,SQ,8315,,HND,medical,minor,55,1,mechanic,A350-900
i4064,20.9.2011,AC,8776,,DFW,turbulence,major,128,0,mechanic,747-8
i4065,20.11.2013,DY,7750,,LAX,security,critical,19,0,mechanic,A380
i4066,8.9.2009,MH,7429,,JFK,turbulence,major,48,0,crew,BE206-JetRanger
i4067,6.10.2013,AF,6354,,LHR,crew,major,63,0,first officer,737-400
i4068,17.7.2020,CX,8362,,DFW,medical,minor,135,0,crew,737-400
i4069,1.6.2019,KE,8607,,YYZ,medical,major,66,0,mechanic,A380
i4070,14.7.2017,AC,5550,,JFK,turbulence,minor,75,1,ground staff,A321-XLR
i4071,2.6.2022,WN,7573,,DFW,medical,critical,107,1,pilot,BE206-JetRanger
i4072,25.3.2021,AZ,5169,,DFW,weather,minor,74,0,company,747-8
i4073,26.10.2023,DY,6443,,DXB,security,major,16,0,company,BE206-JetRanger
i4074,13.11.2016,QF,7128,,SEA,security,critical,100,0,pilot,A321-XLR
i4075,21.6.2022,UA,3857,,DXB,turbulence,critical,34,1,pilot,A350-900
i4076,26.6.2011,TG,5428,,FRA,weather,minor,22,0,crew,BE206-JetRanger
i4077,6.7.2014,KE,1849,,BOM,medical,critical,41,0,first officer,A350-900
i4078,16.1.2014,SQ,9509,,YYZ,mechanical,critical,42,0,ground staff,737-800
i4079,28.6.2019,TG,6712,,ATL,medical,major,90,1,mechanic,777-300ER
i4080,21.11.2014,KL,2380,,FRA,turbulence,minor,11,0,ground staff,737-800
i4081,5.5.2019,U2,6525,,JFK,crew,critical,76,0,first officer,737-800
i4082,16.11.2012,AZ,6758,,DEN,faa,critical,77,0,company,747-8
i4083,19.9.2018,AD,5740,,PEK,crew,major,40,0,first officer,BE206-JetRanger
i4084,14.10.2010,CX,7258,,DEN,turbulence,minor,13,1,ground staff,777-300ER
i4085,3.8.2017,CX,6158,,DFW,weather,minor,108,0,first officer,A380
i4086,8.3.2018,DY,5505,,DXB,mechanical,major,14,0,company,A380
i4087,11.12.2015,EY,4296,,SEA,turbulence,critical,49,0,mechanic,BE206-JetRanger
i4088,12.5.2018,JL,7244,,CDG,mechanical,major,16,0,first officer,737-800
i4089,4.8.2008,QF,5589,,SEA,faa,critical,65,0,pilot,A380
i4090,16.9.2024,DY,8786,,ATL,faa,minor,68,0,company,A380
i4091,16.2.2018,AM,4216,,LHR,security,minor,75,0,pilot,777-300ER
i4092,5.3.2011,TG,1759,,SFO,faa,critical,106,0,crew,A380
i4093,3.6.2012,AZ,6102,,PEK,crew,major,65,0,ground staff,777-300ER
i4094,17.3.2011,DY,1880,,FRA,weather,major,81,0,company,747-8
i4095,27.7.2011,EK,6137,,LAX,security,major,111,0,first officer,737-400
i4096,14.10.2010,QF,5972,,LHR,medical,major,106,0,company,BE206-JetRanger
i4097,24.12.2019,SQ,5181,,PEK,faa,critical,56,0,ground staff,747-8
i4098,4.5.2009,NZ,7180,,PEK,faa,minor,120,0,mechanic,A321-XLR
i4099,6.9.2017,QR,1159,,LHR,security,critical,43,0,company,747-8
i4100,5.3.2019,SV,8420,,LHR,turbulence,critical,131,0,first officer,737-800
i4101,17.8.2024,LA,876,,DFW,mechanical,critical,21,0,pilot,A321-XLR
i4102,3.9.2023,UA,3843,,CDG,medical,minor,61,0,crew,A350-900
i4103,26.5.2011,BA,3694,,GRU,security,major,116,0,first officer,737-400
i4104,24.8.2015,SQ,9184,,SFO,turbulence,critical,28,0,mechanic,BE206-JetRanger
i4105,5.8.2008,U2,5965,,ORD,turbulence,minor,37,1,company,A350-900
i4106,10.3.2019,AY,3697,,DFW,crew,minor,23,0,crew,A321-XLR
i4107,4.7.2023,SQ,5987,,SEA,faa,major,106,0,company,777-300ER
i4108,22.3.2019,AV,6640,,SFO,medical,minor,71,1,pilot,BE206-JetRanger
i4109,10.3.2018,WN,9701,,DFW,turbulence,minor,45,1,mechanic,A380
i4110,21.7.2011,U2,3016,,PEK,security,major,28,0,first officer,747-8
i4111,9.2.2020,MH,2987,,DEN,weather,minor,118,0,ground staff,A321-XLR
i4112,19.10.2009,NH,3697,,JFK,mechanical,critical,119,0,ground staff,A350-900
i4113,9.7.2017,WN,2929,,LAS,medical,major,81,1,first officer,737-400
i4114,11.3.2011,AA,6810,,GRU,weather,major,78,0,crew,737-800
i4115,5.9.2020,U2,4911,,BOM,crew,major,73,0,mechanic,BE206-JetRanger
i4116,9.10.2015,SU,3894,,LHR,mechanical,critical,95,0,crew,A380
i4117,18.10.2017,UA,7779,,FRA,medical,minor,32,0,ground staff,BE206-JetRanger
i4118,13.8.2013,AV,5338,,CDG,mechanical,critical,49,0,first officer,A321-XLR
i4119,18.6.2016,CX,389,,PEK,turbulence,major,14,0,pilot,737-400
i4120,20.4.2012,FR,3966,,ATL,turbulence,critical,33,0,company,A321-XLR
i4121,11.6.2011,EY,3255,,PEK,crew,major,65,0,ground staff,737-400
i4122,25.2.2013,MH,4569,,FRA,mechanical,major,59,0,mechanic,737-800
i4123,11.7.2022,CZ,4927,,DFW,faa,major,16,0,crew,737-800
i4124,11.4.2012,AI,8999,,DFW,crew,minor,135,0,crew,737-400
i4125,10.4.2014,JL,6017,,SEA,crew,critical,24,0,first officer,A380
i4126,6.8.2010,TK,7524,,ORD,crew,major,30,0,crew,A380
i4127,25.7.2014,DL,2605,,LAX,medical,critical,22,0,company,737-400
i4128,21.7.2014,DL,2862,,JFK,crew,major,61,0,ground staff,737-800
i4129,16.5.2021,NZ,7456,,SYD,mechanical,major,83,0,pilot,A380
i4130,18.12.2018,BA,749,,CDG,medical,minor,82,0,mechanic,A350-900
i4131,9.7.2018,FR,6343,,SFO,weather,critical,18,0,crew,A380
i4132,5.6.2014,DL,2259,,DXB,mechanical,critical,55,0,ground staff,737-400
i4133,14.4.2016,VN,4254,,DEN,mechanical,major,94,0,company,737-400
i4134,19.7.2023,AV,9834,,LHR,crew,major,113,0,crew,A380
i4135,4.9.2010,WN,8347,,SYD,medical,major,121,0,ground staff,737-400
i4136,3.10.2016,QF,2725,,SFO,turbulence,critical,55,0,crew,747-8
i4137,10.12.2018,G3,2230,,CDG,security,critical,101,0,crew,737-800
i4138,6.9.2018,MU,4768,,LAX,security,critical,128,0,ground staff,747-8
i4139,27.7.2010,G3,3755,,GRU,crew,minor,88,0,ground staff,777-300ER
i4140,28.1.2022,CZ,5007,,DXB,crew,critical,121,0,first officer,A380
i4141,21.3.2011,U2,8953,,LHR,mechanical,major,121,0,first officer,A380
i4142,9.3.2014,QR,2578,,LAX,mechanical,critical,32,0,first officer,777-300ER
i4143,19.3.2017,EK,5947,,ATL,security,critical,27,0,ground staff,A350-900
i4144,14.6.2015,AM,9961,,JFK,crew,major,84,0,first officer,A350-900
i4145,21.8.2014,DY,1628,,DEN,security,major,65,0,first officer,BE206-JetRanger
i4146,24.1.2016,KL,8860,,ORD,faa,minor,108,0,ground staff,777-300ER
i4147,22.11.2017,NZ,7083,,ATL,mechanical,critical,91,0,company,747-8
i4148,3.12.2020,KL,4005,,DFW,security,major,109,0,ground staff,777-300ER
i4149,17.12.2010,IB,1307,,PEK,faa,minor,75,0,ground staff,A350-900
i4150,27.2.2010,QF,8370,,JFK,mechanical,minor,38,0,company,A380
i4151,24.12.2009,TK,4607,,DFW,medical,critical,46,1,company,737-400
i4152,27.12.2011,KL,2776,,ATL,weather,minor,128,0,pilot,BE206-JetRanger
i4153,14.1.2020,AA,8386,,SFO,weather,major,80,0,first officer,A321-XLR
i4154,28.3.2018,DL,9744,,SEA,security,minor,33,0,crew,A321-XLR
i4155,7.8.2010,IB,5102,,SFO,crew,major,88,0,crew,737-400
i4156,2.10.2010,CZ,5554,,FRA,medical,critical,26,0,company,A350-900
i4157,20.5.2017,AD,9464,,BOM,mechanical,minor,118,0,first officer,A380
i4158,10.4.2023,IB,3505,,ORD,weather,major,110,0,ground staff,737-400
i4159,7.3.2009,WN,7223,,ORD,weather,minor,47,0,company,747-8
i4160,10.1.2020,LH,5629,,GRU,turbulence,critical,57,0,mechanic,A380
i4161,15.2.2018,AV,1161,,PEK,weather,major,82,0,first officer,747-8
i4162,22.1.2021,MH,8918,,PEK,medical,critical,110,0,company,747-8
i4163,21.5.2024,KL,5151,,GRU,medical,critical,13,0,first officer,737-800
i4164,17.6.2021,G3,6050,,SFO,mechanical,critical,112,0,pilot,BE206-JetRanger
i4165,13.9.2023,NH,8574,,GRU,faa,minor,115,0,crew,A380
i4166,12.7.2021,AF,4564,,SEA,medical,minor,53,1,ground staff,777-300ER
i4167,23.5.2015,VN,147,,PEK,faa,major,82,0,mechanic,777-300ER
i4168,24.5.2017,MH,9511,,GRU,weather,minor,14,0,pilot,747-8
i4169,18.6.2013,AI,882,,CDG,medical,critical,60,0,mechanic,747-8
i4170,11.4.2019,AV,1425,,LAX,mechanical,minor,86,0,mechanic,A321-XLR
i4171,18.1.2012,QF,2601,,SFO,weather,critical,36,0,first officer,A321-XLR
i4172,8.2.2011,EK,8365,,ATL,crew,major,24,0,pilot,A350-900
i4173,11.2.2018,AY,561,,YYZ,security,major,43,0,company,A321-XLR
i4174,10.7.2020,AV,5158,,ATL,medical,critical,28,0,company,737-800
i4175,13.10.2010,QF,4336,,HND,medical,critical,110,0,mechanic,777-300ER
i4176,13.9.2021,IB,9341,,LHR,turbulence,major,54,0,ground staff,737-800
i4177,17.11.2009,QF,7624,,SFO,medical,minor,59,1,ground staff,A321-XLR
i4178,5.9.2012,UA,8454,,DFW,faa,major,22,0,pilot,BE206-JetRanger
i4179,27.1.2019,TK,9407,,SYD,security,major,26,0,company,A321-XLR
i4180,4.6.2013,SU,1760,,DFW,weather,critical,66,0,company,A380
i4181,2.6.2010,EY,3966,,SYD,crew,critical,121,0,ground staff,737-400
i4182,9.8.2017,AD,6885,,BOM,mechanical,major,15,0,first officer,A321-XLR
i4183,11.5.2013,KL,845,,LAX,turbulence,critical,119,0,company,A321-XLR
i4184,9.1.2020,MH,2263,,SYD,crew,major,55,0,pilot,737-400
i4185,10.2.2014,AI,6592,,GRU,weather,critical,115,0,pilot,BE206-JetRanger
i4186,12.8.2008,DY,674,,SEA,faa,minor,122,0,company,747-8
i4187,23.7.2019,TK,7653,,LAS,crew,minor,35,0,ground staff,747-8
i4188,16.8.2009,NH,1337,,PEK,mechanical,major,98,0,first officer,737-800
i4189,12.8.2022,BA,4587,,BOM,crew,major,20,0,crew,A380
i4190,28.12.2022,MH,9335,,SEA,weather,major,50,0,first officer,BE206-JetRanger
i4191,11.3.2023,G3,1056,,LAS,crew,critical,137,0,first officer,BE206-JetRanger
i4192,21.9.2022,WN,1881,,LAS,mechanical,major,120,0,company,A350-900
i4193,19.5.2018,AM,3495,,SEA,weather,major,82,0,crew,A350-900
i4194,17.9.2014,AF,5096,,LHR,medical,critical,104,0,ground staff,737-800
i4195,23.2.2016,AV,1690,,HND,weather,minor,45,0,crew,BE206-JetRanger
i4196,4.7.2019,U2,405,,LAX,weather,minor,50,0,mechanic,737-800
i4197,26.5.2016,AF,7176,,CDG,faa,major,138,0,crew,777-300ER
i4198,12.9.2016,VN,7433,,FRA,mechanical,critical,106,0,crew,737-400
i4199,12.1.2016,OZ,7800,,SEA,turbulence,minor,131,1,company,777-300ER
i4200,13.5.2024,TG,8258,,JFK,faa,major,92,0,pilot,A321-XLR
i4201,3.3.2013,SU,739,,LAS,turbulence,minor,127,0,ground staff,A321-XLR
i4202,13.11.2017,EK,9758,,JFK,weather,critical,80,0,ground staff,747-8
i4203,28.5.2018,TG,4953,,DXB,weather,critical,103,0,crew,737-400
i4204,3.7.2017,DY,7112,,JFK,crew,major,137,0,crew,A350-900
i4205,2.2.2021,UA,2491,,LHR,faa,critical,28,0,crew,737-400
i4206,8.4.2023,TG,1130,,PEK,crew,minor,11,0,crew,A350-900
i4207,13.9.2018,TG,9332,,SYD,mechanical,critical,41,0,crew,A350-900
i4208,7.12.2011,MH,300,,SEA,mechanical,minor,131,0,crew,A350-900
i4209,10.7.2011,DL,1416,,JFK,mechanical,critical,41,0,mechanic,A350-900
i4210,10.11.2022,DL,8693,,DXB,crew,critical,80,0,company,BE206-JetRanger
i4211,24.7.2024,SV,8516,,JFK,medical,critical,93,1,pilot,737-400
i4212,26.11.2013,QR,566,,DFW,security,critical,26,0,mechanic,BE206-JetRanger
i4213,12.4.2014,VN,5090,,SEA,crew,critical,17,0,company,737-800
i4214,7.8.2019,AY,5776,,LAX,faa,major,76,0,mechanic,BE206-JetRanger
i4215,4.5.2014,AA,6356,,JFK,security,major,13,0,crew,A321-XLR
i4216,17.3.2018,DL,4257,,LAX,turbulence,critical,70,0,ground staff,A321-XLR
i4217,11.3.2020,LA,4723,,SYD,faa,critical,53,0,company,747-8
i4218,24.9.2021,QR,1298,,JFK,weather,major,110,0,company,737-800
i4219,23.12.2023,TG,3848,,GRU,medical,minor,97,0,company,777-300ER
i4220,26.11.2009,IB,6164,,DFW,crew,major,132,0,mechanic,737-800
i4221,14.8.2020,FR,9551,,JFK,medical,critical,134,0,first officer,A350-900
i4222,2.5.2018,AZ,8441,,CDG,security,critical,91,0,ground staff,747-8
i4223,24.11.2019,DY,811,,YYZ,mechanical,critical,111,0,pilot,737-400
i4224,25.6.2008,U2,9866,,JFK,turbulence,major,133,0,ground staff,737-400
i4225,18.3.2019,AY,9482,,GRU,faa,critical,67,0,crew,737-400
i4226,18.8.2022,QF,5390,,PEK,faa,minor,94,0,company,777-300ER
i4227,12.4.2018,JL,4496,,LAS,medical,critical,133,0,crew,747-8
i4228,7.7.2024,AV,785,,SEA,weather,major,107,0,crew,BE206-JetRanger
i4229,4.2.2017,U2,3419,,ORD,weather,minor,107,0,company,BE206-JetRanger
i4230,6.12.2021,TG,1304,,SEA,crew,major,85,0,company,A380
i4231,16.9.2010,MU,2221,,LHR,faa,major,21,0,first officer,A350-900
i4232,13.8.2011,EK,603,,DXB,faa,minor,17,0,crew,737-400
i4233,23.3.2014,NZ,4619,,SYD,weather,critical,114,0,ground staff,777-300ER
i4234,19.5.2008,TG,4947,,SEA,security,minor,112,0,company,BE206-JetRanger
i4235,17.5.2013,BA,8943,,DEN,medical,major,76,1,ground staff,737-400
i4236,14.8.2023,JL,6373,,DXB,security,critical,33,0,company,737-400
i4237,16.4.2022,AD,6322,,JFK,security,critical,90,0,mechanic,747-8
i4238,24.7.2010,CZ,3623,,YYZ,faa,minor,116,0,ground staff,A380
i4239,21.5.2022,CZ,8957,,LAX,turbulence,critical,62,1,pilot,A321-XLR
i4240,6.3.2011,VN,8700,,LHR,mechanical,minor,37,0,first officer,A350-900
i4241,14.3.2015,CZ,7720,,BOM,crew,minor,103,0,crew,A380
i4242,7.11.2021,AA,3353,,CDG,crew,major,135,0,ground staff,737-800
i4243,3.7.2017,AD,333,,ATL,weather,major,138,0,crew,BE206-JetRanger
i4244,8.1.2014,AV,3805,,CDG,mechanical,critical,44,0,company,A321-XLR
i4245,10.9.2012,NZ,9781,,LAX,weather,critical,108,0,ground staff,A321-XLR
i4246,18.10.2019,EY,1618,,SYD,weather,minor,68,0,ground staff,A380
i4247,10.12.2015,LH,386,,PEK,mechanical,minor,129,0,company,747-8
i4248,24.11.2023,LA,3508,,JFK,crew,minor,86,0,crew,737-400
i4249,15.9.2016,KE,4174,,LAS,medical,minor,55,0,crew,A350-900
i4250,25.2.2016,AC,7111,,ORD,security,critical,116,0,crew,747-8
i4251,12.6.2020,NZ,4980,,DXB,weather,major,71,0,mechanic,737-400
i4252,11.7.2017,SQ,9501,,DFW,security,critical,16,0,ground staff,737-400
i4253,16.12.2016,IB,8676,,DFW,mechanical,critical,33,0,crew,737-800
i4254,14.10.2017,VN,4187,,YYZ,faa,minor,130,0,mechanic,777-300ER
i4255,27.10.2017,AD,3634,,DFW,faa,minor,12,0,pilot,BE206-JetRanger
i4256,7.6.2021,VN,693,,JFK,turbulence,minor,45,0,crew,777-300ER
i4257,22.6.2008,DL,9529,,JFK,faa,major,92,0,crew,A350-900
i4258,3.8.2024,KE,7769,,ORD,weather,major,56,0,company,A321-XLR
i4259,21.11.2014,FR,6288,,DEN,turbulence,critical,92,0,company,A380
i4260,6.12.2022,MH,5453,,SFO,security,critical,16,0,mechanic,BE206-JetRanger
i4261,12.4.2023,U2,1799,,YYZ,weather,major,133,0,pilot,A380
i4262,7.10.2019,SQ,2531,,LHR,faa,major,78,0,pilot,A321-XLR
i4263,25.6.2014,AA,2325,,DFW,crew,major,138,0,pilot,737-400
i4264,11.5.2010,AZ,4622,,DXB,medical,major,53,1,mechanic,A321-XLR
i4265,19.8.2009,FR,7563,,HND,turbulence,critical,101,1,ground staff,A321-XLR
i4266,9.1.2012,AZ,6200,,ATL,turbulence,critical,54,1,company,747-8
i4267,17.8.2009,G3,5230,,HND,faa,major,106,0,first officer,747-8
i4268,27.4.2017,G3,2454,,PEK,mechanical,critical,90,0,first officer,747-8
i4269,19.10.2013,AI,277,,ATL,crew,major,93,0,company,737-400
i4270,22.7.2018,LA,7995,,LAX,mechanical,minor,27,0,crew,737-400
i4271,4.11.2021,MU,5728,,DFW,medical,minor,65,1,mechanic,BE206-JetRanger
i4272,15.7.2013,NZ,2716,,SFO,crew,minor,93,0,mechanic,747-8
i4273,13.5.2022,AY,2097,,CDG,turbulence,critical,116,1,first officer,BE206-JetRanger
i4274,20.6.2014,KE,3357,,JFK,medical,critical,50,0,ground staff,747-8
i4275,2.2.2022,MU,3526,,FRA,weather,major,27,0,crew,737-400
i4276,18.6.2023,SU,7545,,FRA,crew,minor,111,0,mechanic,777-300ER
i4277,2.7.2018,UA,3522,,SFO,crew,minor,44,0,ground staff,BE206-JetRanger
i4278,12.6.2022,OZ,1462,,DFW,turbulence,minor,127,1,company,747-8
i4279,26.9.2016,KL,3941,,JFK,mechanical,minor,17,0,company,777-300ER
i4280,12.11.2012,DL,7184,,PEK,faa,critical,29,0,mechanic,BE206-JetRanger
i4281,1.9.2018,SQ,5948,,SEA,weather,major,47,0,ground staff,BE206-JetRanger
i4282,15.1.2018,MH,4541,,LHR,faa,major,83,0,pilot,747-8
i4283,26.5.2013,VN,7018,,PEK,security,critical,41,0,first officer,BE206-JetRanger
i4284,17.7.2013,LH,1711,,SEA,security,minor,46,0,first officer,A380
i4285,27.8.2018,QF,9137,,FRA,mechanical,minor,114,0,crew,747-8
i4286,25.1.2016,TG,9668,,LHR,turbulence,minor,57,1,company,737-400
i4287,9.4.2023,KE,9540,,DEN,faa,major,39,0,company,737-800
i4288,13.3.2020,AI,7794,,LHR,mechanical,minor,24,0,mechanic,BE206-JetRanger
i4289,22.8.2018,JL,1777,,ATL,crew,critical,43,0,first officer,A321-XLR
i4290,17.3.2009,DY,6385,,PEK,mechanical,critical,28,0,mechanic,737-800
i4291,27.1.2014,UA,7559,,ATL,security,critical,100,0,mechanic,A350-900
i4292,2.1.2010,CX,2032,,ATL,medical,critical,34,0,crew,A321-XLR
i4293,6.6.2024,AV,8680,,JFK,faa,minor,59,0,mechanic,737-800
i4294,12.9.2016,IB,9222,,ORD,faa,major,17,0,crew,BE206-JetRanger
i4295,8.10.2011,EY,3494,,DXB,turbulence,minor,103,1,pilot,737-800
i4296,28.9.2012,NH,6998,,SFO,mechanical,minor,41,0,ground staff,A380
i4297,9.7.2010,KL,9961,,FRA,security,critical,32,0,mechanic,BE206-JetRanger
i4298,13.4.2015,MU,5571,,LAX,faa,critical,133,0,first officer,A321-XLR
i4299,4.9.2010,AF,8029,,HND,turbulence,major,89,0,mechanic,737-400
i4300,1.1.2011,SU,4017,,DXB,turbulence,major,136,1,first officer,A350-900
i4301,10.10.2023,CX,8815,,SFO,medical,critical,28,0,crew,737-400
i4302,9.3.2014,EY,6856,,HND,turbulence,critical,27,0,company,737-800
i4303,27.2.2016,MU,1445,,ATL,turbulence,major,23,1,pilot,A380
i4304,4.2.2021,FR,734,,LAX,security,major,105,0,ground staff,A321-XLR
i4305,7.11.2020,CZ,7153,,LHR,crew,minor,97,0,company,737-800
i4306,26.2.2022,NH,6643,,SEA,crew,critical,98,0,pilot,737-800
i4307,4.6.2020,OZ,2365,,SFO,mechanical,critical,56,0,crew,737-800
i4308,18.6.2022,WN,9451,,CDG,faa,major,118,0,ground staff,BE206-JetRanger
i4309,26.6.2010,EK,8636,,SFO,crew,major,46,0,ground staff,777-300ER
i4310,19.6.2012,AZ,1194,,LHR,crew,minor,29,0,ground staff,A380
i4311,8.11.2022,JL,9215,,SFO,faa,minor,104,0,first officer,737-400
i4312,22.2.2013,SU,7813,,LAX,security,critical,129,0,pilot,737-800
i4313,20.2.2010,MH,3830,,DFW,medical,minor,123,1,crew,737-800
i4314,3.3.2014,AC,2773,,DXB,weather,major,42,0,ground staff,747-8
i4315,24.4.2023,BA,2327,,PEK,faa,critical,82,0,first officer,A321-XLR
i4316,22.4.2012,AC,1034,,SEA,mechanical,major,134,0,mechanic,A380
i4317,23.10.2015,WN,225,,DFW,medical,critical,36,0,crew,A321-XLR
i4318,16.7.2010,U2,4379,,SFO,turbulence,minor,65,0,first officer,BE206-JetRanger
i4319,21.4.2010,TG,8918,,SFO,medical,minor,23,1,first officer,A321-XLR
i4320,28.3.2009,SV,2772,,JFK,weather,critical,84,0,first officer,747-8
i4321,8.10.2012,AY,3919,,SYD,crew,major,89,0,mechanic,747-8
i4322,3.10.2023,MH,3922,,SFO,crew,major,90,0,ground staff,A350-900
i4323,27.3.2024,KL,3099,,SFO,faa,critical,111,0,crew,A321-XLR
i4324,26.5.2010,QF,1087,,ATL,turbulence,minor,113,0,company,A321-XLR
i4325,8.10.2018,G3,2256,,ORD,medical,minor,109,1,pilot,A321-XLR
i4326,16.9.2012,UA,4216,,SYD,medical,critical,29,0,mechanic,BE206-JetRanger
i4327,14.1.2021,MH,7236,,FRA,weather,major,78,0,company,A321-XLR
i4328,7.8.2023,BA,445,,SYD,weather,major,88,0,crew,747-8
i4329,14.6.2009,SV,1021,,DXB,weather,major,20,0,company,A350-900
i4330,10.2.2008,G3,5401,,JFK,security,critical,99,0,pilot,A380
i4331,10.1.2022,UA,8920,,LAS,medical,minor,66,0,crew,A321-XLR
i4332,12.5.2013,QF,6909,,DXB,security,major,97,0,crew,A321-XLR
i4333,7.3.2018,G3,709,,LAX,mechanical,critical,130,0,mechanic,737-800
i4334,13.12.2022,UA,7942,,LAS,faa,critical,122,0,crew,A380
i4335,5.12.2009,MH,3662,,LAS,weather,minor,99,0,ground staff,747-8
i4336,8.6.2020,TK,668,,ATL,faa,minor,76,0,crew,A380
i4337,24.3.2014,G3,7852,,LHR,faa,major,93,0,company,A321-XLR
i4338,25.6.2022,DL,5072,,DXB,mechanical,minor,66,0,mechanic,747-8
i4339,28.2.2014,DY,4656,,SFO,weather,minor,87,0,company,777-300ER
i4340,7.7.2013,TK,7785,,ORD,security,critical,100,0,mechanic,747-8
i4341,13.6.2009,JL,3953,,LAS,security,minor,67,0,company,747-8
i4342,20.2.2014,AD,6477,,DFW,turbulence,major,93,0,company,A350-900
i4343,22.4.2014,MU,4161,,BOM,security,critical,127,0,mechanic,737-400
i4344,25.9.2019,G3,7790,,BOM,crew,minor,90,0,first officer,747-8
i4345,6.8.2009,AF,9276,,YYZ,medical,critical,67,1,crew,747-8
i4346,22.5.2013,AZ,8766,,ORD,security,major,16,0,first officer,737-800
i4347,18.9.2014,KL,3052,,LAS,security,major,78,0,first officer,A350-900
i4348,13.3.2008,IB,6019,,YYZ,mechanical,major,105,0,first officer,A350-900
i4349,28.5.2009,MH,6626,,SFO,weather,minor,106,0,company,777-300ER
i4350,11.5.2022,TG,436,,ATL,security,minor,84,0,first officer,A380
i4351,4.9.2014,DY,7847,,SEA,faa,critical,15,0,first officer,A380
i4352,18.7.2020,FR,2983,,LHR,faa,critical,103,0,mechanic,747-8
i4353,11.11.2022,IB,2274,,SFO,crew,minor,122,0,pilot,777-300ER
i4354,28.9.2023,KL,5018,,YYZ,security,major,88,0,first officer,BE206-JetRanger
i4355,16.6.2016,FR,2389,,ATL,security,minor,85,0,mechanic,A350-900
